"","sellerNick","sellerId","itemTitle","itemId","price","volume"
"1","森比奥旗舰店","3002854148","森比奥轻薄纸尿裤透气婴儿初生S/M/L/XL女宝宝男新生儿尿不湿批发","540073519626",49.9,"1.0万笔"
"2","森比奥旗舰店","3002854148","森比奥拉拉裤xxl轻薄透气干爽学步裤婴儿宝宝成长训练裤尿不湿","540161547958",49.9,"4902笔"
"3","森比奥旗舰店","3002854148","森比奥婴儿湿巾80抽5包带盖宝宝新生儿手口屁通用湿纸巾批发特价","583956540366",18.88,"9587笔"
"4","森比奥旗舰店","3002854148","森比奥轻薄透气纸尿裤S/M/L/XL/XXL婴儿男女宝宝新生儿尿不湿批发","583194767089",69.8,"1167笔"
"5","森比奥旗舰店","3002854148","森比奥纸尿裤xl码新生儿男女宝宝干爽尿裤l 婴儿轻薄透气尿不湿夏","540071348479",49.9,"691笔"
"6","森比奥旗舰店","3002854148","森比奥拉拉裤xl码 女男宝宝纸尿裤轻薄透气干爽婴儿训练裤学步裤","540161621317",49.9,"534笔"
"7","森比奥旗舰店","3002854148","森比奥婴儿湿巾新生儿童手口屁宝宝湿纸巾80抽5包100批发带盖","569270427207",19.99,"480笔"
"8","森比奥旗舰店","3002854148","森比奥纸尿裤m码全芯体轻薄透气宝宝婴儿干爽尿裤尿不湿夏批发","540071032385",49.9,"241笔"
"9","森比奥旗舰店","3002854148","森比奥拉拉裤男婴儿l码轻薄透气女宝宝纸尿裤xl干爽尿不湿xxl批发","540154968963",49.9,"183笔"
"10","森比奥旗舰店","3002854148","森比奥纸尿片 婴儿 新生儿 轻薄透气批发男女宝宝尿不湿 XL56片","539962149326",59.9,"74笔"
"11","森比奥旗舰店","3002854148","森比奥纸尿片s码婴儿尿不湿m新生儿宝宝轻薄透气批发夏季干爽尿片","539889438729",28.9,"162笔"
"12","森比奥旗舰店","3002854148","森比奥纸尿片男女宝宝轻薄透气干爽XL26片 婴幼儿尿片 小孩尿布湿","539960914298",28.9,"68笔"
"13","森比奥旗舰店","3002854148","森比奥新生儿 纸尿片m码 30片轻薄透气夏干爽婴儿尿片止尿片批发","539959991574",28.9,"38笔"
"14","森比奥旗舰店","3002854148","森比奥新生儿婴尿不湿初生s码44男宝宝女透气纸尿裤干爽轻薄小号","540073427258",49.9,"123笔"
"15","森比奥旗舰店","3002854148","森比奥轻薄纸尿片M码120 夏季透气干爽新生婴儿干爽透气批发尿片","555619378495",79.8,"51笔"
"16","森比奥旗舰店","3002854148","森比奥新生儿纸尿裤XL S M L男女宝宝婴儿轻薄干爽防漏尿不湿尿裤","539962594815",29.9,"0笔"
"17","森比奥旗舰店","3002854148","森比奥新生儿纸尿裤M码22片轻薄透气绵柔干爽防漏婴儿尿裤尿不湿","544010704788",29.9,"2笔"
"18","森比奥旗舰店","3002854148","森比奥男女宝宝 纸尿裤L码 轻薄透气干爽新生婴儿尿不湿尿裤批发","539962234725",29.9,"7笔"
"19","森比奥旗舰店","3002854148","森比奥纸尿片XL码104 大号轻薄柔透气干爽男女宝宝尿不湿夏非尿裤","555676699667",79.8,"62笔"
"20","森比奥旗舰店","3002854148","森比奥轻薄干爽透气纸尿裤婴儿新生儿宝宝M/L/XL码轻薄尿裤尿不","539962089111",29.9,"1笔"
"21","森比奥旗舰店","3002854148","森比奥 宝宝尿不湿轻薄透气男女M68片婴儿尿片一次性新生儿纯棉","557013570062",58.9,"32笔"
"22","森比奥旗舰店","3002854148","森比奥宝宝纸尿片小孩尿不湿男女L28夏新生儿尿片轻薄透气 夏","539959806747",28.9,"49笔"
"23","森比奥旗舰店","3002854148","森比奥轻薄婴儿拉拉裤透气夏季男女宝宝成长训练裤L/XL/XXL试用装","583156730738",19.9,"46笔"
"24","森比奥旗舰店","3002854148","森比奥婴儿纸尿裤L轻薄透气儿童拉拉XL干爽尿不湿男女宝宝M批发","582829248620",19.9,"38笔"
"25","森比奥旗舰店","3002854148","森比奥儿童拉拉裤XL码轻薄透气男女宝宝干爽尿不湿学步训练裤批发","560135052744",40.9,"8笔"
"26","森比奥旗舰店","3002854148","森比奥纸尿片婴儿L码轻薄透气批发新生儿宝宝干爽大码尿不湿尿片","555502976609",78.9,"31笔"
"27","森比奥旗舰店","3002854148","森比奥宝宝纸尿裤M码320片轻薄透气干爽新生婴儿尿不湿批发","564092175363",268,"1笔"
"28","森比奥旗舰店","3002854148","森比奥纸尿裤S M L XL码轻薄透气男女宝宝夏季干爽尿裤尿不湿批发","555669258802",79.9,"28笔"
